order,college_code,Institute
236,6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune"
237,6324,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"
238,6632,Navsahyadri Education Society's Group of Institutions
239,6635,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune"
240,2135,"Hi-Tech Institute of Technology, Aurangabad"
241,6799,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj"
242,2116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded"
243,2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.
244,6757,"Yashoda Technical Campus, Wadhe, Satara."
245,6545,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara."
246,5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar"
247,3503,"Indala College Of Engineering, Bapsai Tal.Kalyan"
248,5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik"
249,6308,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)"
250,4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur"
251,2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur"
252,1126,"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati"
253,3219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur"
254,4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur"
255,3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg."
256,4118,"Bapurao Deshmukh College of Engineering, Sevagram"
257,5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar"
258,1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302"
259,6815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala"
260,5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal"
261,5171,"Godavari Foundation's Godavari College Of Engineering, Jalgaon"
262,5399,"Sanghavi College of Engineering, Varvandi, Nashik."
263,5408,"Vidya Niketan College of Engineering, Bota Sangamner"
264,6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur"
265,1182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana"
266,6322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi"
267,6313,"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali"
268,6766,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara
269,5396,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon"
270,2252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani"
271,2516,International Centre Of Excellence In Engineering and Management (ICEEM)
272,4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni"
273,5409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar"
274,4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur"
275,5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik."
276,6795,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar"
277,1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana"
278,6767,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune."
279,3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath."
280,2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai"
281,4181,"Swaminarayan Siddhanta Institute Of Technology, Nagpur"
282,5169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule"
283,6901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi"
284,1107,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati"
285,6758,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune."
286,1180,"Sanmati Engineering College, Sawargaon Barde, Washim"
287,2130,"Terna Public Charitable Trust's College of Engineering, Osmanabad"
288,6628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune"
289,6466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad"
290,6644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"
291,1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon"
292,3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research"
293,6326,Karmayogi Institute of Technology
294,2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar"
295,6183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima"
296,6305,"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara"
297,2522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur."
298,2131,"Shree Tuljabhavani College of Engineering, Tuljapur"
299,5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur"
300,6756,"Fabtech Technical Campus College of Engineering and Research, Sangola"
301,2282,"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed"
302,4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha"
303,5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon."
304,3220,Yadavrao Tasgaonkar College of Engineering & Management
305,4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara"
306,6938,Shree Siddheshwar Women's College Of Engineering Solapur.
307,4192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur"
308,4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur"
309,5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha."
310,1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile"
311,3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY
312,6782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj"
313,2137,"Nagnathappa Halge Engineering College, Parli, Beed"
314,2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna"
315,4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara"
316,4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati"
317,2136,"Aditya Engineering College , Beed"
318,4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)"
319,6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur"
320,6321,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur"
321,6219,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur"
322,1005,"Sant Gadge Baba Amravati University,Amravati"
323,2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad"
324,3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri."
325,4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur"
326,4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha"
327,5003,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon"
328,5244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik"
329,5322,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa"
330,5365,"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha, Dhule"
331,3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly"
332,6811,Sanjay Ghodawat Institute
